	Epoch			Reward
Episode:	599	Avereged	reward:	18.57
Episode:	600	Avereged	reward:	18.7
Episode:	601	Avereged	reward:	19.07
Episode:	602	Avereged	reward:	19.1
Episode:	603	Avereged	reward:	18.73
Episode:	604	Avereged	reward:	18.8
Episode:	605	Avereged	reward:	19.23
Episode:	606	Avereged	reward:	19.37
Episode:	607	Avereged	reward:	19.87
Episode:	608	Avereged	reward:	19.33
Episode:	609	Avereged	reward:	19.47
Episode:	610	Avereged	reward:	19.37
Episode:	611	Avereged	reward:	19.23
Episode:	612	Avereged	reward:	19.33
Episode:	613	Avereged	reward:	19.37
Episode:	614	Avereged	reward:	19.23
Episode:	615	Avereged	reward:	19.53
Episode:	616	Avereged	reward:	20
Episode:	617	Avereged	reward:	20.27
Episode:	618	Avereged	reward:	20.3
Episode:	619	Avereged	reward:	20.57
Episode:	620	Avereged	reward:	20.63
Episode:	621	Avereged	reward:	20.8
Episode:	622	Avereged	reward:	21.03
Episode:	623	Avereged	reward:	20.37
Episode:	624	Avereged	reward:	20.5
Episode:	625	Avereged	reward:	20.53
Episode:	626	Avereged	reward:	20.53
Episode:	627	Avereged	reward:	20.87
Episode:	628	Avereged	reward:	21.23
Episode:	629	Avereged	reward:	20.83
Episode:	630	Avereged	reward:	20.7
Episode:	631	Avereged	reward:	20.9
Episode:	632	Avereged	reward:	20.67
Episode:	633	Avereged	reward:	21
Episode:	634	Avereged	reward:	20.73
Episode:	635	Avereged	reward:	20.57
Episode:	636	Avereged	reward:	20.37
Episode:	637	Avereged	reward:	20.2
Episode:	638	Avereged	reward:	20.53
Episode:	639	Avereged	reward:	20.57
Episode:	640	Avereged	reward:	20.47
Episode:	641	Avereged	reward:	20.6
Episode:	642	Avereged	reward:	20.4
Episode:	643	Avereged	reward:	20.77
Episode:	644	Avereged	reward:	20.83
Episode:	645	Avereged	reward:	20.63
Episode:	646	Avereged	reward:	20.13
Episode:	647	Avereged	reward:	19.9
Episode:	648	Avereged	reward:	19.83
Episode:	649	Avereged	reward:	19.47
Episode:	650	Avereged	reward:	19.53
Episode:	651	Avereged	reward:	19.17
Episode:	652	Avereged	reward:	19.03
Episode:	653	Avereged	reward:	19.67
Episode:	654	Avereged	reward:	19.73
Episode:	655	Avereged	reward:	20.07
Episode:	656	Avereged	reward:	19.83
Episode:	657	Avereged	reward:	19.53
Episode:	658	Avereged	reward:	19.3
Episode:	659	Avereged	reward:	19.43
Episode:	660	Avereged	reward:	19.17
Episode:	661	Avereged	reward:	18.87
Episode:	662	Avereged	reward:	18.9
Episode:	663	Avereged	reward:	19.13
Episode:	664	Avereged	reward:	19.23
Episode:	665	Avereged	reward:	19.13
Episode:	666	Avereged	reward:	19.33
Episode:	667	Avereged	reward:	19.6
Episode:	668	Avereged	reward:	19.33
Episode:	669	Avereged	reward:	19.13
Episode:	670	Avereged	reward:	19.3
Episode:	671	Avereged	reward:	19.03
Episode:	672	Avereged	reward:	19.13
